id;name;type;life;peer_id;peer_name;misc;zvalue;geom
987;P987;MINIMUM;1.000000;988;P988;"name:P987|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P988|z:2497.000000";2497.000000;"POINT (652137.500000 145212.500000)"
988;P988;SADDLE;1.000000;987;P987;"name:P988|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P987|z:2498.000000";2498.000000;"POINT (652137.500000 145187.500000)"
989;P989;MINIMUM;0.312000;990;P990;"name:P989|type:MINIMUM|life:0.312000|pair-type:H0|paired-to:P990|z:2498.000000";2498.000000;"POINT (648737.500000 147862.500000)"
990;P990;SADDLE;0.312000;989;P989;"name:P990|type:SADDLE|life:0.312000|pair-type:H0|paired-to:P989|z:2498.312012";2498.312012;"POINT (648762.500000 147887.500000)"
991;P991;SADDLE;1.000000;992;P992;"name:P991|type:SADDLE|life:1.000000|pair-type:H1|paired-to:P992|z:2499.000000";2499.000000;"POINT (650487.500000 143837.500000)"
992;P992;MAXIMUM;1.000000;991;P991;"name:P992|type:MAXIMUM|life:1.000000|pair-type:H1|paired-to:P991|z:2500.000000";2500.000000;"POINT (650487.500000 143812.500000)"
993;P993;SADDLE;1.640000;994;P994;"name:P993|type:SADDLE|life:1.640000|pair-type:H1|paired-to:P994|z:2499.360107";2499.360107;"POINT (640512.500000 142212.500000)"
994;P994;MAXIMUM;1.640000;993;P993;"name:P994|type:MAXIMUM|life:1.640000|pair-type:H1|paired-to:P993|z:2501.000000";2501.000000;"POINT (640487.500000 142187.500000)"
995;P995;MINIMUM;1.000000;996;P996;"name:P995|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P996|z:2501.000000";2501.000000;"POINT (646087.500000 144012.500000)"
996;P996;SADDLE;1.000000;995;P995;"name:P996|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P995|z:2502.000000";2502.000000;"POINT (646112.500000 144012.500000)"
997;P997;MINIMUM;1.000000;998;P998;"name:P997|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P998|z:2501.000000";2501.000000;"POINT (646137.500000 144162.500000)"
998;P998;SADDLE;1.000000;997;P997;"name:P998|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P997|z:2502.000000";2502.000000;"POINT (646162.500000 144162.500000)"
999;P999;MINIMUM;1.640000;1000;P1000;"name:P999|type:MINIMUM|life:1.640000|pair-type:H0|paired-to:P1000|z:2501.000000";2501.000000;"POINT (647662.500000 146887.500000)"
1000;P1000;SADDLE;1.640000;999;P999;"name:P1000|type:SADDLE|life:1.640000|pair-type:H0|paired-to:P999|z:2502.639893";2502.639893;"POINT (647687.500000 146887.500000)"
1001;P1001;MINIMUM;1.000000;1002;P1002;"name:P1001|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P1002|z:2505.000000";2505.000000;"POINT (646062.500000 144037.500000)"
1002;P1002;SADDLE;1.000000;1001;P1001;"name:P1002|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P1001|z:2506.000000";2506.000000;"POINT (646087.500000 144037.500000)"
1003;P1003;MINIMUM;2.000000;1004;P1004;"name:P1003|type:MINIMUM|life:2.000000|pair-type:H0|paired-to:P1004|z:2506.000000";2506.000000;"POINT (646112.500000 144187.500000)"
1004;P1004;SADDLE;2.000000;1003;P1003;"name:P1004|type:SADDLE|life:2.000000|pair-type:H0|paired-to:P1003|z:2508.000000";2508.000000;"POINT (646137.500000 144187.500000)"
